iter	Logloss
0	0.6910595849
1	0.6894178807
2	0.6877646363
3	0.6858100299
4	0.6839153032
5	0.6823971358
6	0.6806053686
7	0.6786749199
8	0.676399679
9	0.6740754492
10	0.6722954999
11	0.6708019414
12	0.6694772813
13	0.6675835095
14	0.666155317
15	0.6648665901
16	0.6634392193
17	0.6617884528
18	0.6605209064
19	0.658896983
20	0.6576993024
21	0.6563301986
22	0.6549426801
23	0.653785912
24	0.6523818718
25	0.6509894909
26	0.6496864414
27	0.6485441063
28	0.6475048797
29	0.6463994555
30	0.6452479029
31	0.6441250879
32	0.6432180718
33	0.6420528002
34	0.6405543402
35	0.639415751
36	0.6384107943
37	0.6374097071
38	0.6366033738
39	0.6354772369
40	0.6341873499
41	0.633396565
42	0.6325325996
43	0.6315978218
44	0.6304947862
45	0.6294721186
46	0.6280419546
47	0.6266881961
48	0.6255376037
49	0.6247402138
50	0.6240002683
51	0.6233792921
52	0.6225349699
53	0.6212759495
54	0.6206837913
55	0.6199613522
56	0.619209423
57	0.618560266
58	0.617711377
59	0.6171051179
60	0.6163516519
61	0.6151969108
62	0.6145081743
63	0.613840519
64	0.6130079316
65	0.6121633685
66	0.6116312993
67	0.6107005443
68	0.6101773661
69	0.609597006
70	0.609044673
71	0.6078121829
72	0.6070954632
73	0.6066109737
74	0.6055587832
75	0.6049519378
76	0.6044026377
77	0.6039855276
78	0.603183938
79	0.6027676388
80	0.60234803
81	0.6020025625
82	0.6014849294
83	0.600509323
84	0.6000450896
85	0.5992595697
86	0.5985744579
87	0.598168216
88	0.5975058315
89	0.5967235791
90	0.5962249567
91	0.5958932876
92	0.5953821346
93	0.5948318986
94	0.5945338591
95	0.5942113028
96	0.5936752374
97	0.5929218398
98	0.5923142644
99	0.5915718163
100	0.5911793219
101	0.5905355949
102	0.5900712332
103	0.5897532207
104	0.5895333882
105	0.5891562949
106	0.5887664526
107	0.5881926958
108	0.587869988
109	0.5875925566
110	0.586698099
111	0.5860219477
112	0.5856671371
113	0.5852409271
114	0.5850235241
115	0.5846370994
116	0.5842264804
117	0.5837906802
118	0.5831411774
119	0.5827564297
120	0.58239267
121	0.5821436339
