iter	Passed	Remaining
0	8	8612
1	10	5124
2	11	3862
3	17	4243
4	22	4559
5	24	4046
6	32	4632
7	39	4865
8	47	5226
9	53	5285
10	60	5422
11	63	5255
12	64	4933
13	71	5027
14	74	4905
15	76	4704
16	83	4799
17	90	4940
18	96	4959
19	102	4998
20	104	4889
21	107	4776
22	115	4892
23	116	4757
24	120	4705
25	127	4769
26	130	4695
27	134	4651
28	141	4742
29	143	4652
30	149	4674
31	155	4716
32	157	4617
33	163	4650
34	171	4716
35	177	4753
36	180	4691
37	183	4633
38	184	4544
39	190	4582
40	203	4767
41	206	4711
42	212	4730
43	215	4689
44	222	4715
45	228	4735
46	234	4753
47	244	4843
48	252	4899
49	255	4854
50	257	4787
51	258	4711
52	264	4724
53	267	4694
54	269	4634
55	271	4575
56	277	4591
57	279	4545
58	285	4561
59	288	4517
60	294	4539
61	302	4572
62	304	4533
63	308	4517
64	314	4528
65	324	4586
66	325	4538
67	331	4547
68	333	4501
69	340	4519
70	341	4472
71	347	4477
72	351	4462
73	353	4419
74	359	4438
75	362	4404
76	365	4377
77	366	4334
78	373	4356
79	379	4364
80	381	4328
81	382	4285
82	389	4298
83	395	4314
84	397	4282
85	404	4295
86	409	4301
87	416	4316
88	422	4322
89	428	4328
90	434	4339
91	435	4302
92	438	4275
93	443	4269
94	444	4233
95	446	4201
96	448	4171
97	454	4180
98	461	4197
99	466	4200
100	468	4173
101	474	4177
102	480	4183
103	482	4160
104	484	4125
105	488	4121
106	491	4099
107	493	4077
108	498	4078
109	500	4049
110	506	4058
111	512	4061
112	518	4066
113	529	4118
114	531	4092
115	534	4070
116	540	4079
117	543	4061
118	550	4076
119	554	4067
120	560	4074
121	562	4051
122	564	4025
123	570	4030
124	573	4012
125	575	3990
126	581	3995
127	586	3997
128	588	3974
129	594	3978
130	600	3980
131	605	3978
132	607	3963
133	613	3966
134	619	3968
135	626	3977
136	637	4017
137	644	4024
138	655	4062
139	661	4065
140	663	4044
141	669	4045
142	670	4020
143	672	3998
144	675	3980
145	687	4018
146	690	4004
147	695	4002
148	699	3995
149	705	3998
150	711	4002
151	718	4007
152	720	3987
153	726	3989
154	728	3974
155	731	3958
156	733	3936
157	738	3935
158	752	3977
159	754	3959
160	760	3961
161	766	3963
162	772	3965
163	774	3946
164	775	3926
165	781	3926
166	787	3928
167	793	3928
168	799	3928
169	805	3931
170	806	3911
171	812	3910
172	818	3912
173	823	3911
174	829	3912
175	835	3911
176	838	3896
177	839	3877
178	846	3882
179	849	3869
180	857	3879
181	863	3879
182	869	3879
183	875	3880
184	880	3880
185	882	3860
186	887	3859
187	889	3843
188	891	3823
189	896	3822
190	900	3814
191	902	3797
192	904	3781
193	910	3781
194	918	3790
195	919	3772
196	922	3759
197	928	3760
198	929	3743
199	935	3741
200	939	3732
201	940	3715
202	948	3722
203	949	3705
204	955	3706
205	957	3691
206	967	3705
207	975	3715
208	977	3700
209	981	3690
210	982	3674
211	984	3658
212	993	3671
213	995	3657
214	998	3645
215	1004	3647
216	1008	3639
217	1010	3624
218	1011	3608
219	1013	3593
220	1014	3577
221	1018	3568
222	1026	3575
223	1028	3562
224	1034	3562
225	1040	3562
226	1047	3566
227	1053	3566
228	1061	3572
229	1067	3574
230	1072	3570
231	1076	3562
232	1082	3562
233	1084	3549
234	1097	3571
235	1098	3555
236	1101	3545
237	1102	3530
238	1106	3522
239	1112	3522
240	1118	3523
241	1121	3512
242	1127	3513
243	1130	3502
244	1132	3490
245	1138	3490
246	1141	3479
247	1147	3479
248	1149	3466
249	1154	3463
250	1161	3464
251	1162	3449
252	1164	3437
253	1170	3438
254	1176	3437
255	1184	3442
256	1186	3430
257	1188	3417
258	1194	3416
259	1200	3417
260	1206	3417
261	1208	3404
262	1216	3408
263	1218	3398
264	1221	3387
265	1228	3389
266	1232	3384
267	1245	3401
268	1246	3388
269	1249	3378
270	1256	3379
271	1263	3380
272	1269	3381
273	1271	3369
274	1272	3355
275	1278	3353
276	1281	3345
277	1282	3332
278	1289	3331
279	1295	3330
280	1296	3317
281	1300	3311
282	1303	3301
283	1305	3290
284	1311	3289
285	1313	3278
286	1319	3278
287	1326	3279
288	1329	3270
289	1334	3266
290	1336	3256
291	1338	3245
292	1345	3246
293	1347	3235
294	1357	3244
295	1365	3248
296	1372	3247
297	1379	3250
298	1384	3245
299	1391	3245
300	1393	3235
301	1400	3237
302	1410	3243
303	1418	3247
304	1424	3246
305	1439	3264
306	1450	3274
307	1458	3276
308	1465	3276
309	1471	3275
310	1473	3264
311	1486	3277
312	1493	3278
313	1496	3269
314	1502	3268
315	1505	3258
316	1510	3253
317	1511	3242
318	1516	3236
319	1522	3236
320	1529	3236
321	1544	3252
322	1551	3251
323	1552	3239
324	1560	3240
325	1570	3246
326	1577	3246
327	1582	3243
328	1589	3240
329	1596	3241
330	1598	3230
331	1604	3229
332	1607	3219
333	1613	3217
334	1618	3212
335	1620	3202
336	1627	3201
337	1629	3191
338	1635	3188
339	1641	3186
340	1648	3185
341	1655	3185
342	1662	3183
343	1668	3181
344	1670	3172
345	1677	3170
346	1683	3168
347	1690	3167
348	1692	3156
349	1698	3154
350	1705	3153
351	1711	3151
352	1717	3148
353	1723	3145
354	1730	3143
355	1733	3135
356	1738	3132
357	1742	3124
358	1749	3123
359	1754	3119
360	1759	3115
361	1764	3109
362	1765	3098
363	1771	3095
364	1777	3092
365	1779	3082
366	1780	3071
367	1787	3069
368	1793	3067
369	1799	3063
370	1800	3053
371	1806	3050
372	1808	3039
373	1812	3034
374	1817	3029
375	1819	3018
376	1825	3016
377	1831	3013
378	1843	3021
379	1850	3018
380	1856	3015
381	1857	3005
382	1861	2998
383	1869	2999
384	1875	2995
385	1877	2986
386	1883	2982
387	1889	2980
388	1894	2976
389	1901	2973
390	1906	2969
391	1908	2959
392	1916	2960
393	1922	2957
394	1928	2953
395	1930	2944
396	1932	2935
397	1935	2927
398	1942	2925
399	1949	2924
400	1953	2918
401	1960	2915
402	1966	2912
403	1967	2903
404	1980	2909
405	1981	2899
406	1988	2896
407	1991	2889
408	1994	2882
409	2001	2879
410	2002	2869
411	2008	2867
412	2015	2864
413	2017	2855
414	2023	2852
415	2028	2848
416	2034	2844
417	2039	2840
418	2041	2830
419	2043	2822
420	2049	2818
421	2051	2810
422	2057	2806
423	2059	2797
424	2065	2793
425	2067	2785
426	2068	2776
427	2074	2772
428	2075	2762
429	2077	2753
430	2078	2744
431	2087	2744
432	2088	2734
433	2094	2730
434	2095	2722
435	2107	2726
436	2113	2722
437	2119	2718
438	2124	2715
439	2130	2711
440	2136	2708
441	2143	2706
442	2147	2700
443	2150	2693
444	2153	2685
445	2159	2682
446	2165	2678
447	2170	2674
448	2172	2666
449	2174	2657
450	2177	2650
451	2183	2646
452	2188	2642
453	2194	2638
454	2199	2635
455	2205	2631
456	2211	2628
457	2218	2624
458	2223	2621
459	2225	2612
460	2231	2608
461	2236	2604
462	2238	2596
463	2244	2592
464	2252	2591
465	2254	2583
466	2257	2576
467	2264	2574
468	2270	2571
469	2276	2566
470	2277	2558
471	2280	2551
472	2288	2549
473	2289	2541
474	2291	2532
475	2292	2524
476	2298	2519
477	2306	2518
478	2307	2510
479	2313	2505
480	2319	2502
481	2324	2498
482	2326	2490
483	2328	2482
484	2333	2478
485	2339	2474
486	2344	2469
487	2350	2465
488	2356	2462
489	2361	2458
490	2363	2450
491	2369	2446
492	2379	2447
493	2386	2443
494	2389	2437
495	2394	2433
496	2400	2429
497	2406	2425
498	2407	2417
499	2409	2409
500	2413	2403
501	2418	2399
502	2422	2393
503	2428	2389
504	2429	2381
505	2431	2374
506	2437	2370
507	2443	2366
508	2447	2360
509	2452	2356
510	2459	2353
511	2461	2345
512	2463	2338
513	2468	2334
514	2469	2325
515	2475	2321
516	2477	2314
517	2482	2310
518	2488	2306
519	2494	2302
520	2498	2297
521	2500	2289
522	2506	2285
523	2511	2281
524	2517	2277
525	2523	2273
526	2525	2266
527	2529	2261
528	2534	2256
529	2536	2249
530	2542	2245
531	2552	2245
532	2553	2237
533	2559	2233
534	2565	2229
535	2567	2222
536	2570	2216
537	2576	2212
538	2580	2206
539	2586	2203
540	2592	2199
541	2593	2191
542	2596	2185
543	2597	2177
544	2599	2170
545	2606	2166
546	2611	2162
547	2618	2160
548	2621	2153
549	2627	2149
550	2633	2146
551	2641	2143
552	2646	2139
553	2652	2135
554	2658	2131
555	2660	2124
556	2661	2116
557	2668	2114
558	2674	2109
559	2679	2105
560	2686	2101
561	2691	2097
562	2695	2091
563	2696	2084
564	2703	2081
565	2705	2074
566	2710	2069
567	2712	2063
568	2714	2055
569	2720	2052
570	2726	2048
571	2729	2042
572	2735	2038
573	2740	2034
574	2743	2028
575	2749	2024
576	2755	2019
577	2757	2012
578	2760	2007
579	2762	2000
580	2773	2000
581	2781	1997
582	2793	1997
583	2795	1990
584	2806	1990
585	2810	1985
586	2811	1978
587	2814	1972
588	2816	1965
589	2821	1961
590	2828	1957
591	2834	1953
592	2839	1949
593	2841	1942
594	2847	1938
595	2851	1932
596	2856	1928
597	2858	1921
598	2865	1917
599	2866	1910
600	2868	1904
601	2870	1897
602	2876	1893
603	2880	1888
604	2886	1884
605	2891	1880
606	2898	1876
607	2901	1870
608	2907	1866
609	2910	1860
610	2916	1856
611	2921	1852
612	2928	1849
613	2932	1843
614	2938	1839
615	2939	1832
616	2942	1826
617	2947	1822
618	2953	1817
619	2957	1812
620	2962	1807
621	2967	1803
622	2973	1799
623	2978	1795
624	2980	1788
625	2986	1784
626	2992	1780
627	3003	1779
628	3009	1774
629	3011	1768
630	3016	1764
631	3022	1760
632	3028	1755
633	3029	1749
634	3035	1744
635	3036	1738
636	3042	1733
637	3047	1729
638	3052	1724
639	3059	1720
640	3060	1714
641	3061	1707
642	3063	1700
643	3069	1696
644	3071	1690
645	3072	1683
646	3074	1677
647	3082	1674
648	3083	1667
649	3085	1661
650	3087	1655
651	3090	1649
652	3092	1643
653	3094	1637
654	3100	1632
655	3106	1628
656	3111	1624
657	3117	1620
658	3119	1614
659	3129	1612
660	3131	1606
661	3133	1599
662	3135	1593
663	3141	1589
664	3146	1585
665	3151	1580
666	3155	1575
667	3157	1569
668	3162	1564
669	3168	1560
670	3173	1556
671	3180	1552
672	3186	1548
673	3187	1541
674	3191	1536
675	3197	1532
676	3204	1528
677	3205	1522
678	3207	1516
679	3213	1512
680	3219	1508
681	3225	1503
682	3231	1499
683	3233	1493
684	3243	1491
685	3245	1485
686	3250	1481
687	3256	1476
688	3264	1473
689	3275	1471
690	3282	1467
691	3285	1462
692	3295	1459
693	3297	1454
694	3303	1449
695	3308	1445
696	3314	1440
697	3321	1437
698	3323	1431
699	3329	1426
700	3335	1422
701	3337	1416
702	3342	1412
703	3347	1407
704	3357	1405
